target_score;miRNA;gene;Gene Description
58;hsa-miR-195-5p;TEAD1;TEA domain transcription factor 1
58;hsa-miR-195-5p;MYADM;myeloid associated differentiation marker
57;hsa-miR-195-5p;LCP1;lymphocyte cytosolic protein 1
57;hsa-miR-195-5p;CYB5B;cytochrome b5 type B
57;hsa-miR-195-5p;PTCD3;pentatricopeptide repeat domain 3
57;hsa-miR-195-5p;ANOS1;anosmin 1
57;hsa-miR-195-5p;BCL2L12;BCL2 like 12
57;hsa-miR-195-5p;ZDHHC21;zinc finger DHHC-type containing 21
57;hsa-miR-195-5p;UBL3;ubiquitin like 3
57;hsa-miR-195-5p;PIAS1;protein inhibitor of activated STAT 1
57;hsa-miR-195-5p;TMEM68;transmembrane protein 68
57;hsa-miR-195-5p;GRAMD2B;GRAM domain containing 2B
57;hsa-miR-195-5p;TBC1D16;TBC1 domain family member 16
57;hsa-miR-195-5p;PIK3C2A;phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
57;hsa-miR-195-5p;ZNF662;zinc finger protein 662
57;hsa-miR-195-5p;PDCD4;programmed cell death 4
57;hsa-miR-195-5p;USP38;ubiquitin specific peptidase 38
57;hsa-miR-195-5p;DEDD;death effector domain containing
57;hsa-miR-195-5p;MAMLD1;mastermind like domain containing 1
57;hsa-miR-195-5p;CAB39;calcium binding protein 39
57;hsa-miR-195-5p;BCL9L;BCL9 like
57;hsa-miR-195-5p;ZNF697;zinc finger protein 697
57;hsa-miR-195-5p;GLT1D1;glycosyltransferase 1 domain containing 1
57;hsa-miR-195-5p;SLC22A17;solute carrier family 22 member 17
57;hsa-miR-195-5p;GSG1;germ cell associated 1
57;hsa-miR-195-5p;RNF213;ring finger protein 213
57;hsa-miR-195-5p;AP5Z1;adaptor related protein complex 5 subunit zeta 1
57;hsa-miR-195-5p;SNCG;synuclein gamma
57;hsa-miR-195-5p;IL17RE;interleukin 17 receptor E
57;hsa-miR-195-5p;SLC45A2;solute carrier family 45 member 2
57;hsa-miR-195-5p;TRIM9;tripartite motif containing 9
57;hsa-miR-195-5p;PURA;purine rich element binding protein A
57;hsa-miR-195-5p;PPP2R1A;protein phosphatase 2 scaffold subunit Aalpha
57;hsa-miR-195-5p;CHD6;chromodomain helicase DNA binding protein 6
57;hsa-miR-195-5p;ARMC8;armadillo repeat containing 8
57;hsa-miR-195-5p;CABLES2;Cdk5 and Abl enzyme substrate 2
57;hsa-miR-195-5p;BTF3;basic transcription factor 3
57;hsa-miR-195-5p;ALOX12;arachidonate 12-lipoxygenase, 12S type
57;hsa-miR-195-5p;ZHX1;zinc fingers and homeoboxes 1
57;hsa-miR-195-5p;RASSF5;Ras association domain family member 5
57;hsa-miR-195-5p;PPP6C;protein phosphatase 6 catalytic subunit
57;hsa-miR-195-5p;SNRNP48;small nuclear ribonucleoprotein U11/U12 subunit 48
57;hsa-miR-195-5p;TMEM138;transmembrane protein 138
56;hsa-miR-195-5p;LOC100996842;uncharacterized LOC100996842
56;hsa-miR-195-5p;PAGR1;PAXIP1 associated glutamate rich protein 1
56;hsa-miR-195-5p;TRAF6;TNF receptor associated factor 6
56;hsa-miR-195-5p;PTGFR;prostaglandin F receptor
56;hsa-miR-195-5p;CNNM3;cyclin and CBS domain divalent metal cation transport mediator 3
56;hsa-miR-195-5p;MLLT6;MLLT6, PHD finger containing
56;hsa-miR-195-5p;AK9;adenylate kinase 9
56;hsa-miR-195-5p;VAMP8;vesicle associated membrane protein 8
56;hsa-miR-195-5p;SRP72;signal recognition particle 72
56;hsa-miR-195-5p;DPH5;diphthamide biosynthesis 5
56;hsa-miR-195-5p;PIGB;phosphatidylinositol glycan anchor biosynthesis class B
56;hsa-miR-195-5p;TMEM33;transmembrane protein 33
56;hsa-miR-195-5p;SCN4B;sodium voltage-gated channel beta subunit 4
56;hsa-miR-195-5p;GOLGA4;golgin A4
56;hsa-miR-195-5p;BHLHE41;basic helix-loop-helix family member e41
56;hsa-miR-195-5p;PRR15L;proline rich 15 like
56;hsa-miR-195-5p;FRA10AC1;FRA10A associated CGG repeat 1
56;hsa-miR-195-5p;PSME3;proteasome activator subunit 3
56;hsa-miR-195-5p;CAST;calpastatin
56;hsa-miR-195-5p;CHFR;checkpoint with forkhead and ring finger domains
56;hsa-miR-195-5p;SELENOS;selenoprotein S
56;hsa-miR-195-5p;KRTAP4-4;keratin associated protein 4-4
56;hsa-miR-195-5p;USP32;ubiquitin specific peptidase 32
56;hsa-miR-195-5p;SH3BP2;SH3 domain binding protein 2
56;hsa-miR-195-5p;FAM174B;family with sequence similarity 174 member B
56;hsa-miR-195-5p;CCDC81;coiled-coil domain containing 81
56;hsa-miR-195-5p;A4GNT;alpha-1,4-N-acetylglucosaminyltransferase
56;hsa-miR-195-5p;ADGRD1;adhesion G protein-coupled receptor D1
56;hsa-miR-195-5p;ABI2;abl interactor 2
55;hsa-miR-195-5p;C17orf51;chromosome 17 open reading frame 51
55;hsa-miR-195-5p;HOXA3;homeobox A3
55;hsa-miR-195-5p;NXPH1;neurexophilin 1
55;hsa-miR-195-5p;VAPB;VAMP associated protein B and C
55;hsa-miR-195-5p;NSMCE3;NSE3 homolog, SMC5-SMC6 complex component
55;hsa-miR-195-5p;SOX5;SRY-box 5
55;hsa-miR-195-5p;PIK3C2B;phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
55;hsa-miR-195-5p;TFEC;transcription factor EC
55;hsa-miR-195-5p;AHNAK2;AHNAK nucleoprotein 2
55;hsa-miR-195-5p;CTDSPL;CTD small phosphatase like
55;hsa-miR-195-5p;DNAJC5;DnaJ heat shock protein family (Hsp40) member C5
55;hsa-miR-195-5p;REEP1;receptor accessory protein 1
55;hsa-miR-195-5p;CA8;carbonic anhydrase 8
55;hsa-miR-195-5p;CDK6;cyclin dependent kinase 6
55;hsa-miR-195-5p;ESS2;ess-2 splicing factor homolog
55;hsa-miR-195-5p;SYT10;synaptotagmin 10
55;hsa-miR-195-5p;FBXO22;F-box protein 22
55;hsa-miR-195-5p;SEPT11;septin 11
55;hsa-miR-195-5p;AEBP2;AE binding protein 2
55;hsa-miR-195-5p;KLC4;kinesin light chain 4
55;hsa-miR-195-5p;SOGA1;suppressor of glucose, autophagy associated 1
55;hsa-miR-195-5p;TRIM36;tripartite motif containing 36
55;hsa-miR-195-5p;ZNF436;zinc finger protein 436
55;hsa-miR-195-5p;TPM3;tropomyosin 3
55;hsa-miR-195-5p;RPRD1B;regulation of nuclear pre-mRNA domain containing 1B
55;hsa-miR-195-5p;SZRD1;SUZ RNA binding domain containing 1
55;hsa-miR-195-5p;PARM1;prostate androgen-regulated mucin-like protein 1
55;hsa-miR-195-5p;TPPP3;tubulin polymerization promoting protein family member 3
55;hsa-miR-195-5p;ZBTB9;zinc finger and BTB domain containing 9
55;hsa-miR-195-5p;CLCN5;chloride voltage-gated channel 5
55;hsa-miR-195-5p;LRCH1;leucine rich repeats and calponin homology domain containing 1
55;hsa-miR-195-5p;THSD4;thrombospondin type 1 domain containing 4
55;hsa-miR-195-5p;C5orf64;chromosome 5 open reading frame 64
55;hsa-miR-195-5p;TIMM10B;translocase of inner mitochondrial membrane 10B
55;hsa-miR-195-5p;HTR1B;5-hydroxytryptamine receptor 1B
54;hsa-miR-195-5p;CHRNB2;cholinergic receptor nicotinic beta 2 subunit
54;hsa-miR-195-5p;ARHGEF12;Rho guanine nucleotide exchange factor 12
54;hsa-miR-195-5p;GDI2;GDP dissociation inhibitor 2
54;hsa-miR-195-5p;PRR11;proline rich 11
54;hsa-miR-195-5p;LRP10;LDL receptor related protein 10
54;hsa-miR-195-5p;AMMECR1L;AMMECR1 like
54;hsa-miR-195-5p;ADAM10;ADAM metallopeptidase domain 10
54;hsa-miR-195-5p;PRKAA1;protein kinase AMP-activated catalytic subunit alpha 1
54;hsa-miR-195-5p;SPEN;spen family transcriptional repressor
54;hsa-miR-195-5p;GABRE;gamma-aminobutyric acid type A receptor epsilon subunit
54;hsa-miR-195-5p;GORASP1;golgi reassembly stacking protein 1
54;hsa-miR-195-5p;FSD1;fibronectin type III and SPRY domain containing 1
54;hsa-miR-195-5p;ADAP1;ArfGAP with dual PH domains 1
54;hsa-miR-195-5p;SWAP70;switching B cell complex subunit SWAP70
54;hsa-miR-195-5p;MED13;mediator complex subunit 13
54;hsa-miR-195-5p;TECPR2;tectonin beta-propeller repeat containing 2
54;hsa-miR-195-5p;FGFR4;fibroblast growth factor receptor 4
54;hsa-miR-195-5p;DENR;density regulated re-initiation and release factor
54;hsa-miR-195-5p;MYLK3;myosin light chain kinase 3
54;hsa-miR-195-5p;NEXMIF;neurite extension and migration factor
54;hsa-miR-195-5p;ZDHHC14;zinc finger DHHC-type containing 14
54;hsa-miR-195-5p;FLCN;folliculin
54;hsa-miR-195-5p;ANP32E;acidic nuclear phosphoprotein 32 family member E
54;hsa-miR-195-5p;ZNF699;zinc finger protein 699
54;hsa-miR-195-5p;SLC9A8;solute carrier family 9 member A8
54;hsa-miR-195-5p;GNPDA2;glucosamine-6-phosphate deaminase 2
54;hsa-miR-195-5p;MRPS2;mitochondrial ribosomal protein S2
54;hsa-miR-195-5p;MTMR11;myotubularin related protein 11
53;hsa-miR-195-5p;CNTN3;contactin 3
53;hsa-miR-195-5p;TTC38;tetratricopeptide repeat domain 38
53;hsa-miR-195-5p;AP1S3;adaptor related protein complex 1 subunit sigma 3
53;hsa-miR-195-5p;DCAF10;DDB1 and CUL4 associated factor 10
53;hsa-miR-195-5p;EPB41L1;erythrocyte membrane protein band 4.1 like 1
53;hsa-miR-195-5p;DAZAP2;DAZ associated protein 2
53;hsa-miR-195-5p;ZNF609;zinc finger protein 609
53;hsa-miR-195-5p;C11orf53;chromosome 11 open reading frame 53
53;hsa-miR-195-5p;DNAJA1;DnaJ heat shock protein family (Hsp40) member A1
53;hsa-miR-195-5p;LMAN2L;lectin, mannose binding 2 like
53;hsa-miR-195-5p;PAK2;p21 (RAC1) activated kinase 2
53;hsa-miR-195-5p;MCFD2;multiple coagulation factor deficiency 2
53;hsa-miR-195-5p;ZNF81;zinc finger protein 81
53;hsa-miR-195-5p;KCNJ11;potassium voltage-gated channel subfamily J member 11
53;hsa-miR-195-5p;MOCS3;molybdenum cofactor synthesis 3
53;hsa-miR-195-5p;SLC38A7;solute carrier family 38 member 7
53;hsa-miR-195-5p;PIM1;Pim-1 proto-oncogene, serine/threonine kinase
53;hsa-miR-195-5p;NYNRIN;NYN domain and retroviral integrase containing
53;hsa-miR-195-5p;LAMP2;lysosomal associated membrane protein 2
53;hsa-miR-195-5p;ANKRD11;ankyrin repeat domain 11
53;hsa-miR-195-5p;KLC1;kinesin light chain 1
53;hsa-miR-195-5p;BRWD1;bromodomain and WD repeat domain containing 1
53;hsa-miR-195-5p;MACC1;MET transcriptional regulator MACC1
53;hsa-miR-195-5p;TXN2;thioredoxin 2
53;hsa-miR-195-5p;ZC3H12C;zinc finger CCCH-type containing 12C
53;hsa-miR-195-5p;ZNF497;zinc finger protein 497
53;hsa-miR-195-5p;RABEP1;rabaptin, RAB GTPase binding effector protein 1
53;hsa-miR-195-5p;WNT2B;Wnt family member 2B
52;hsa-miR-195-5p;VTCN1;V-set domain containing T cell activation inhibitor 1
52;hsa-miR-195-5p;IDH3A;isocitrate dehydrogenase 3 (NAD(+)) alpha
52;hsa-miR-195-5p;TUBGCP2;tubulin gamma complex associated protein 2
52;hsa-miR-195-5p;EIF2B2;eukaryotic translation initiation factor 2B subunit beta
52;hsa-miR-195-5p;MRAS;muscle RAS oncogene homolog
52;hsa-miR-195-5p;MYCL;MYCL proto-oncogene, bHLH transcription factor
52;hsa-miR-195-5p;ONECUT2;one cut homeobox 2
52;hsa-miR-195-5p;C1orf226;chromosome 1 open reading frame 226
52;hsa-miR-195-5p;GDPD1;glycerophosphodiester phosphodiesterase domain containing 1
52;hsa-miR-195-5p;NKD1;NKD1, WNT signaling pathway inhibitor
52;hsa-miR-195-5p;SELENOO;selenoprotein O
52;hsa-miR-195-5p;UVSSA;UV stimulated scaffold protein A
52;hsa-miR-195-5p;SPEG;striated muscle enriched protein kinase
52;hsa-miR-195-5p;PHF21A;PHD finger protein 21A
52;hsa-miR-195-5p;PPP1R12B;protein phosphatase 1 regulatory subunit 12B
52;hsa-miR-195-5p;SLC7A2;solute carrier family 7 member 2
52;hsa-miR-195-5p;FBXO10;F-box protein 10
52;hsa-miR-195-5p;UBAP1;ubiquitin associated protein 1
52;hsa-miR-195-5p;XIRP2;xin actin binding repeat containing 2
52;hsa-miR-195-5p;PYM1;PYM homolog 1, exon junction complex associated factor
52;hsa-miR-195-5p;TRAF3;TNF receptor associated factor 3
52;hsa-miR-195-5p;GCNT3;glucosaminyl (N-acetyl) transferase 3, mucin type
52;hsa-miR-195-5p;TUFT1;tuftelin 1
52;hsa-miR-195-5p;ITPRIPL2;ITPRIP like 2
52;hsa-miR-195-5p;RLIM;ring finger protein, LIM domain interacting
52;hsa-miR-195-5p;HIRA;histone cell cycle regulator
52;hsa-miR-195-5p;PSMF1;proteasome inhibitor subunit 1
52;hsa-miR-195-5p;TPRG1L;tumor protein p63 regulated 1 like
52;hsa-miR-195-5p;CNN1;calponin 1
51;hsa-miR-195-5p;ABHD13;abhydrolase domain containing 13
51;hsa-miR-195-5p;LRRTM2;leucine rich repeat transmembrane neuronal 2
51;hsa-miR-195-5p;ADNP2;ADNP homeobox 2
51;hsa-miR-195-5p;PEAK1;pseudopodium enriched atypical kinase 1
51;hsa-miR-195-5p;CHD9;chromodomain helicase DNA binding protein 9
51;hsa-miR-195-5p;DICER1;dicer 1, ribonuclease III
51;hsa-miR-195-5p;XPO4;exportin 4
51;hsa-miR-195-5p;CCNYL1;cyclin Y like 1
51;hsa-miR-195-5p;FAM161A;FAM161A, centrosomal protein
51;hsa-miR-195-5p;RGPD6;RANBP2-like and GRIP domain containing 6
51;hsa-miR-195-5p;TP53INP1;tumor protein p53 inducible nuclear protein 1
51;hsa-miR-195-5p;IFFO2;intermediate filament family orphan 2
51;hsa-miR-195-5p;PTEN;phosphatase and tensin homolog
51;hsa-miR-195-5p;WDR47;WD repeat domain 47
51;hsa-miR-195-5p;SMYD5;SMYD family member 5
51;hsa-miR-195-5p;C14orf180;chromosome 14 open reading frame 180
51;hsa-miR-195-5p;MCRIP1;MAPK regulated corepressor interacting protein 1
51;hsa-miR-195-5p;C11orf68;chromosome 11 open reading frame 68
51;hsa-miR-195-5p;FAM84B;family with sequence similarity 84 member B
51;hsa-miR-195-5p;KARS;lysyl-tRNA synthetase
51;hsa-miR-195-5p;FBXL18;F-box and leucine rich repeat protein 18
51;hsa-miR-195-5p;ANKRD34A;ankyrin repeat domain 34A
51;hsa-miR-195-5p;NSD2;nuclear receptor binding SET domain protein 2
51;hsa-miR-195-5p;ZNF224;zinc finger protein 224
51;hsa-miR-195-5p;PXMP4;peroxisomal membrane protein 4
51;hsa-miR-195-5p;DUSP9;dual specificity phosphatase 9
51;hsa-miR-195-5p;ODF2;outer dense fiber of sperm tails 2
51;hsa-miR-195-5p;GTPBP1;GTP binding protein 1
50;hsa-miR-195-5p;SEC22C;SEC22 homolog C, vesicle trafficking protein
50;hsa-miR-195-5p;ALDH6A1;aldehyde dehydrogenase 6 family member A1
50;hsa-miR-195-5p;CSF1;colony stimulating factor 1
50;hsa-miR-195-5p;CLASP1;cytoplasmic linker associated protein 1
50;hsa-miR-195-5p;ANKRD13D;ankyrin repeat domain 13D
50;hsa-miR-195-5p;RRAGA;Ras related GTP binding A
50;hsa-miR-195-5p;KHNYN;KH and NYN domain containing
50;hsa-miR-195-5p;PMM1;phosphomannomutase 1
50;hsa-miR-195-5p;SENP2;SUMO specific peptidase 2
50;hsa-miR-195-5p;MMP19;matrix metallopeptidase 19
50;hsa-miR-195-5p;DYRK2;dual specificity tyrosine phosphorylation regulated kinase 2
50;hsa-miR-195-5p;TK2;thymidine kinase 2, mitochondrial
50;hsa-miR-195-5p;PCNX1;pecanex 1
50;hsa-miR-195-5p;SNRPA1;small nuclear ribonucleoprotein polypeptide A'
50;hsa-miR-195-5p;TRPC1;transient receptor potential cation channel subfamily C member 1
50;hsa-miR-195-5p;TM7SF3;transmembrane 7 superfamily member 3
50;hsa-miR-195-5p;CASC1;cancer susceptibility 1
50;hsa-miR-195-5p;RGS5;regulator of G protein signaling 5
50;hsa-miR-195-5p;OTUD6A;OTU deubiquitinase 6A
50;hsa-miR-195-5p;CENPN;centromere protein N
50;hsa-miR-195-5p;OGFOD3;2-oxoglutarate and iron dependent oxygenase domain containing 3
98;hsa-miR-93-3p;GLCCI1;glucocorticoid induced 1
96;hsa-miR-93-3p;SMURF2;SMAD specific E3 ubiquitin protein ligase 2
95;hsa-miR-93-3p;TUT4;terminal uridylyl transferase 4
95;hsa-miR-93-3p;SLC39A9;solute carrier family 39 member 9
95;hsa-miR-93-3p;GTF2I;general transcription factor IIi
95;hsa-miR-93-3p;AIFM1;apoptosis inducing factor mitochondria associated 1
94;hsa-miR-93-3p;SYNJ1;synaptojanin 1
94;hsa-miR-93-3p;PNN;pinin, desmosome associated protein
94;hsa-miR-93-3p;TARDBP;TAR DNA binding protein
94;hsa-miR-93-3p;PKIG;cAMP-dependent protein kinase inhibitor gamma
93;hsa-miR-93-3p;AEBP2;AE binding protein 2
93;hsa-miR-93-3p;PLPPR5;phospholipid phosphatase related 5
93;hsa-miR-93-3p;NR6A1;nuclear receptor subfamily 6 group A member 1
93;hsa-miR-93-3p;ARF4;ADP ribosylation factor 4
93;hsa-miR-93-3p;KIAA1549L;KIAA1549 like
93;hsa-miR-93-3p;TNRC6B;trinucleotide repeat containing 6B
92;hsa-miR-93-3p;MIOS;meiosis regulator for oocyte development
92;hsa-miR-93-3p;DDI2;DNA damage inducible 1 homolog 2
92;hsa-miR-93-3p;MYLK4;myosin light chain kinase family member 4
92;hsa-miR-93-3p;EBF3;EBF transcription factor 3
92;hsa-miR-93-3p;TOM1L1;target of myb1 like 1 membrane trafficking protein
92;hsa-miR-93-3p;MIP;major intrinsic protein of lens fiber
91;hsa-miR-93-3p;USP3;ubiquitin specific peptidase 3
91;hsa-miR-93-3p;PRPS1;phosphoribosyl pyrophosphate synthetase 1
91;hsa-miR-93-3p;UBE2G2;ubiquitin conjugating enzyme E2 G2
91;hsa-miR-93-3p;FAM149B1;family with sequence similarity 149 member B1
91;hsa-miR-93-3p;PWWP3B;PWWP domain containing 3B
91;hsa-miR-93-3p;FETUB;fetuin B
91;hsa-miR-93-3p;ALPK3;alpha kinase 3
91;hsa-miR-93-3p;SORBS2;sorbin and SH3 domain containing 2
90;hsa-miR-93-3p;PRPF8;pre-mRNA processing factor 8
90;hsa-miR-93-3p;ERC1;ELKS/RAB6-interacting/CAST family member 1
90;hsa-miR-93-3p;FBXL17;F-box and leucine rich repeat protein 17
90;hsa-miR-93-3p;KLHL2;kelch like family member 2
90;hsa-miR-93-3p;LDLRAD4;low density lipoprotein receptor class A domain containing 4
90;hsa-miR-93-3p;TTC21B;tetratricopeptide repeat domain 21B
90;hsa-miR-93-3p;PPP6C;protein phosphatase 6 catalytic subunit
90;hsa-miR-93-3p;SNRPE;small nuclear ribonucleoprotein polypeptide E
89;hsa-miR-93-3p;ZCCHC17;zinc finger CCHC-type containing 17
89;hsa-miR-93-3p;TFB2M;transcription factor B2, mitochondrial
89;hsa-miR-93-3p;ZNF395;zinc finger protein 395
89;hsa-miR-93-3p;NFASC;neurofascin
89;hsa-miR-93-3p;SOX6;SRY-box 6
89;hsa-miR-93-3p;DNAJC27;DnaJ heat shock protein family (Hsp40) member C27
88;hsa-miR-93-3p;ZNF451;zinc finger protein 451
88;hsa-miR-93-3p;ING3;inhibitor of growth family member 3
88;hsa-miR-93-3p;IFNK;interferon kappa
88;hsa-miR-93-3p;MBNL1;muscleblind like splicing regulator 1
88;hsa-miR-93-3p;DLGAP1;DLG associated protein 1
88;hsa-miR-93-3p;HDX;highly divergent homeobox
88;hsa-miR-93-3p;CRACR2B;calcium release activated channel regulator 2B
88;hsa-miR-93-3p;CPS1;carbamoyl-phosphate synthase 1
88;hsa-miR-93-3p;C5orf24;chromosome 5 open reading frame 24
87;hsa-miR-93-3p;PSD3;pleckstrin and Sec7 domain containing 3
87;hsa-miR-93-3p;PACSIN2;protein kinase C and casein kinase substrate in neurons 2
87;hsa-miR-93-3p;LAMC3;laminin subunit gamma 3
87;hsa-miR-93-3p;CNOT2;CCR4-NOT transcription complex subunit 2
87;hsa-miR-93-3p;PRKAA1;protein kinase AMP-activated catalytic subunit alpha 1
87;hsa-miR-93-3p;TPST1;tyrosylprotein sulfotransferase 1
87;hsa-miR-93-3p;MAP9;microtubule associated protein 9
87;hsa-miR-93-3p;DOCK4;dedicator of cytokinesis 4
87;hsa-miR-93-3p;KLF12;Kruppel like factor 12
87;hsa-miR-93-3p;HEPACAM2;HEPACAM family member 2
87;hsa-miR-93-3p;KCND2;potassium voltage-gated channel subfamily D member 2
87;hsa-miR-93-3p;C2orf40;chromosome 2 open reading frame 40
87;hsa-miR-93-3p;CEBPZOS;CEBPZ opposite strand
86;hsa-miR-93-3p;CCDC40;coiled-coil domain containing 40
86;hsa-miR-93-3p;EFHC2;EF-hand domain containing 2
86;hsa-miR-93-3p;REPS1;RALBP1 associated Eps domain containing 1
86;hsa-miR-93-3p;LGALSL;galectin like
86;hsa-miR-93-3p;KPNA4;karyopherin subunit alpha 4
86;hsa-miR-93-3p;INO80;INO80 complex subunit
86;hsa-miR-93-3p;MAN1C1;mannosidase alpha class 1C member 1
86;hsa-miR-93-3p;IL6ST;interleukin 6 signal transducer
85;hsa-miR-93-3p;CEP97;centrosomal protein 97
85;hsa-miR-93-3p;SNX33;sorting nexin 33
85;hsa-miR-93-3p;FRG2;FSHD region gene 2
85;hsa-miR-93-3p;ATP9A;ATPase phospholipid transporting 9A (putative)
85;hsa-miR-93-3p;ZNF189;zinc finger protein 189
85;hsa-miR-93-3p;PEX11B;peroxisomal biogenesis factor 11 beta
85;hsa-miR-93-3p;OGT;O-linked N-acetylglucosamine (GlcNAc) transferase
85;hsa-miR-93-3p;RAB4A;RAB4A, member RAS oncogene family
85;hsa-miR-93-3p;DZIP1;DAZ interacting zinc finger protein 1
85;hsa-miR-93-3p;REPS2;RALBP1 associated Eps domain containing 2
84;hsa-miR-93-3p;SENP5;SUMO specific peptidase 5
84;hsa-miR-93-3p;SESN3;sestrin 3
84;hsa-miR-93-3p;STK32B;serine/threonine kinase 32B
84;hsa-miR-93-3p;SH3PXD2A;SH3 and PX domains 2A
84;hsa-miR-93-3p;PHLDB1;pleckstrin homology like domain family B member 1
83;hsa-miR-93-3p;SMAD2;SMAD family member 2
83;hsa-miR-93-3p;CPNE8;copine 8
83;hsa-miR-93-3p;TBL1XR1;transducin beta like 1 X-linked receptor 1
83;hsa-miR-93-3p;CA7;carbonic anhydrase 7
83;hsa-miR-93-3p;PXN;paxillin
83;hsa-miR-93-3p;SPZ1;spermatogenic leucine zipper 1
82;hsa-miR-93-3p;CLEC4F;C-type lectin domain family 4 member F
82;hsa-miR-93-3p;KDM2A;lysine demethylase 2A
82;hsa-miR-93-3p;C17orf80;chromosome 17 open reading frame 80
82;hsa-miR-93-3p;MBP;myelin basic protein
82;hsa-miR-93-3p;PLAC8;placenta specific 8
82;hsa-miR-93-3p;RCC1;regulator of chromosome condensation 1
82;hsa-miR-93-3p;CCDC6;coiled-coil domain containing 6
82;hsa-miR-93-3p;PIP5K1B;phosphatidylinositol-4-phosphate 5-kinase type 1 beta
82;hsa-miR-93-3p;PLCXD2;phosphatidylinositol specific phospholipase C X domain containing 2
82;hsa-miR-93-3p;PAX9;paired box 9
82;hsa-miR-93-3p;TCHHL1;trichohyalin like 1
82;hsa-miR-93-3p;NFATC3;nuclear factor of activated T cells 3
81;hsa-miR-93-3p;HMGA2;high mobility group AT-hook 2
81;hsa-miR-93-3p;UNC5C;unc-5 netrin receptor C
81;hsa-miR-93-3p;TVP23B;trans-golgi network vesicle protein 23 homolog B
81;hsa-miR-93-3p;CNTNAP1;contactin associated protein 1
81;hsa-miR-93-3p;SFMBT1;Scm like with four mbt domains 1
81;hsa-miR-93-3p;WNK3;WNK lysine deficient protein kinase 3
81;hsa-miR-93-3p;DCAF8;DDB1 and CUL4 associated factor 8
81;hsa-miR-93-3p;CD58;CD58 molecule
80;hsa-miR-93-3p;AICDA;activation induced cytidine deaminase
80;hsa-miR-93-3p;IREB2;iron responsive element binding protein 2
80;hsa-miR-93-3p;COL4A3;collagen type IV alpha 3 chain
80;hsa-miR-93-3p;EMB;embigin
80;hsa-miR-93-3p;CACNB2;calcium voltage-gated channel auxiliary subunit beta 2
80;hsa-miR-93-3p;ESM1;endothelial cell specific molecule 1
80;hsa-miR-93-3p;CCDC30;coiled-coil domain containing 30
80;hsa-miR-93-3p;TVP23C;trans-golgi network vesicle protein 23 homolog C
80;hsa-miR-93-3p;NTRK2;neurotrophic receptor tyrosine kinase 2
80;hsa-miR-93-3p;CACNB4;calcium voltage-gated channel auxiliary subunit beta 4
80;hsa-miR-93-3p;NDUFA10;NADH:ubiquinone oxidoreductase subunit A10
79;hsa-miR-93-3p;LARGE1;LARGE xylosyl- and glucuronyltransferase 1
79;hsa-miR-93-3p;ARHGAP42;Rho GTPase activating protein 42
79;hsa-miR-93-3p;AKAP5;A-kinase anchoring protein 5
79;hsa-miR-93-3p;ZNF587B;zinc finger protein 587B
79;hsa-miR-93-3p;ARHGAP26;Rho GTPase activating protein 26
79;hsa-miR-93-3p;RNASE9;ribonuclease A family member 9 (inactive)
79;hsa-miR-93-3p;ARFIP1;ADP ribosylation factor interacting protein 1
79;hsa-miR-93-3p;MID2;midline 2
78;hsa-miR-93-3p;CNTN3;contactin 3
78;hsa-miR-93-3p;SPINK5;serine peptidase inhibitor, Kazal type 5
78;hsa-miR-93-3p;CDC14B;cell division cycle 14B
78;hsa-miR-93-3p;ALG2;ALG2, alpha-1,3/1,6-mannosyltransferase
78;hsa-miR-93-3p;GRSF1;G-rich RNA sequence binding factor 1
78;hsa-miR-93-3p;TSC1;TSC complex subunit 1
78;hsa-miR-93-3p;BRD9;bromodomain containing 9
78;hsa-miR-93-3p;ZNF704;zinc finger protein 704
78;hsa-miR-93-3p;NCOA1;nuclear receptor coactivator 1
78;hsa-miR-93-3p;CPEB2;cytoplasmic polyadenylation element binding protein 2
78;hsa-miR-93-3p;HRNR;hornerin
78;hsa-miR-93-3p;SYNPO2;synaptopodin 2
77;hsa-miR-93-3p;NSL1;NSL1, MIS12 kinetochore complex component
77;hsa-miR-93-3p;PNMA5;PNMA family member 5
77;hsa-miR-93-3p;TECPR2;tectonin beta-propeller repeat containing 2
77;hsa-miR-93-3p;GPD1;glycerol-3-phosphate dehydrogenase 1
77;hsa-miR-93-3p;UST;uronyl 2-sulfotransferase
77;hsa-miR-93-3p;ITGA4;integrin subunit alpha 4
77;hsa-miR-93-3p;NFATC1;nuclear factor of activated T cells 1
77;hsa-miR-93-3p;PLXNA4;plexin A4
77;hsa-miR-93-3p;MAPK8;mitogen-activated protein kinase 8
77;hsa-miR-93-3p;SIX3;SIX homeobox 3
77;hsa-miR-93-3p;ZPR1;ZPR1 zinc finger
77;hsa-miR-93-3p;COL11A2;collagen type XI alpha 2 chain
77;hsa-miR-93-3p;TMEM105;TMEM105 long non-coding RNA
76;hsa-miR-93-3p;CAMK1D;calcium/calmodulin dependent protein kinase ID
76;hsa-miR-93-3p;COX15;cytochrome c oxidase assembly homolog COX15
76;hsa-miR-93-3p;RAB24;RAB24, member RAS oncogene family
76;hsa-miR-93-3p;MFSD14B;major facilitator superfamily domain containing 14B
76;hsa-miR-93-3p;SLC7A6;solute carrier family 7 member 6
76;hsa-miR-93-3p;BNC2;basonuclin 2
